Username,Rating,Review
user_1,5,Great upgrade from previous model
user_2,5,Best iPhone I have used so far
user_3,4,Camera is outstanding especially in low light
user_4,4,Amazing camera quality and smooth performance
user_5,4,Display is bright and sharp
user_6,4,Camera is outstanding especially in low light
user_7,5,Best iPhone I have used so far
user_8,1,Overpriced product
user_9,4,Display is bright and sharp
user_10,4,Display is bright and sharp
user_11,4,Great upgrade from previous model
user_12,1,Battery drains faster than expected
user_13,3,Performance is good but price is high
user_14,4,Great upgrade from previous model
user_15,1,Battery could have been better
user_16,2,Battery could have been better
user_17,1,Too expensive for the features
user_18,5,Very smooth experience and no lag
user_19,2,Battery could have been better
user_20,4,Best iPhone I have used so far
user_21,4,Very smooth experience and no lag
user_22,5,Battery life is impressive and lasts all day
user_23,5,Camera is outstanding especially in low light
user_24,4,Super fast and great display quality
user_25,5,Best iPhone I have used so far
user_26,5,Super fast and great display quality
user_27,5,Best iPhone I have used so far
user_28,3,Battery could have been better
user_29,4,Very smooth experience and no lag
user_30,4,Best iPhone I have used so far
user_31,5,Display is bright and sharp
user_32,5,Camera is outstanding especially in low light
user_33,5,Display is bright and sharp
user_34,5,Battery life is impressive and lasts all day
user_35,4,Very smooth experience and no lag
user_36,2,Expected more features
user_37,1,Heating issue while gaming
user_38,5,Best iPhone I have used so far
user_39,5,Camera is outstanding especially in low light
user_40,4,Excellent performance and premium feel
user_41,5,Very smooth experience and no lag
user_42,4,Best iPhone I have used so far
user_43,3,Camera is good but not worth the price
user_44,4,Camera is outstanding especially in low light
user_45,2,Performance is good but price is high
user_46,2,Performance is good but price is high
user_47,4,Super fast and great display quality
user_48,5,Super fast and great display quality
user_49,5,Amazing camera quality and smooth performance
user_50,5,Battery life is impressive and lasts all day
user_51,4,Best iPhone I have used so far
user_52,5,Display is bright and sharp
user_53,5,Best iPhone I have used so far
user_54,2,Camera is good but not worth the price
user_55,4,Super fast and great display quality
user_56,5,Super fast and great display quality
user_57,2,Overpriced product
user_58,5,Super fast and great display quality
user_59,2,Expected more features
user_60,1,Performance is good but price is high
user_61,1,Battery could have been better
user_62,4,Amazing camera quality and smooth performance
user_63,1,Too expensive for the features
user_64,5,Excellent performance and premium feel
user_65,5,Camera is outstanding especially in low light
user_66,4,Super fast and great display quality
user_67,4,Very smooth experience and no lag
user_68,4,Best iPhone I have used so far
user_69,4,Amazing camera quality and smooth performance
user_70,3,Performance is good but price is high
user_71,3,Gets warm quickly
user_72,4,Amazing camera quality and smooth performance
user_73,4,Excellent performance and premium feel
user_74,4,Best iPhone I have used so far
user_75,4,Display is bright and sharp
user_76,4,Great upgrade from previous model
user_77,5,Excellent performance and premium feel
user_78,5,Super fast and great display quality
user_79,3,Gets warm quickly
user_80,2,Battery drains faster than expected
user_81,5,Great upgrade from previous model
user_82,2,Overpriced product
user_83,5,Great upgrade from previous model
user_84,3,Expected more features
user_85,2,Gets warm quickly
user_86,4,Camera is outstanding especially in low light
user_87,3,Overpriced product
user_88,4,Best iPhone I have used so far
user_89,4,Loved the design and build quality
user_90,4,Loved the design and build quality
user_91,4,Excellent performance and premium feel
user_92,3,Heating issue while gaming
user_93,4,Amazing camera quality and smooth performance
user_94,4,Super fast and great display quality
user_95,4,Excellent performance and premium feel
user_96,4,Loved the design and build quality
user_97,5,Loved the design and build quality
user_98,5,Very smooth experience and no lag
user_99,3,Too expensive for the features
user_100,5,Camera is outstanding especially in low light
user_101,5,Great upgrade from previous model
user_102,4,Camera is outstanding especially in low light
user_103,4,Display is bright and sharp
user_104,5,Great upgrade from previous model
user_105,4,Loved the design and build quality
user_106,4,Loved the design and build quality
user_107,5,Loved the design and build quality
user_108,1,Battery could have been better
user_109,1,Gets warm quickly
user_110,3,Battery drains faster than expected
user_111,5,Great upgrade from previous model
user_112,5,Best iPhone I have used so far
user_113,5,Display is bright and sharp
user_114,5,Loved the design and build quality
user_115,5,Very smooth experience and no lag
user_116,5,Great upgrade from previous model
user_117,4,Excellent performance and premium feel
user_118,5,Loved the design and build quality
user_119,4,Best iPhone I have used so far
user_120,4,Loved the design and build quality
user_121,5,Loved the design and build quality
user_122,4,Camera is outstanding especially in low light
user_123,3,Heating issue while gaming
user_124,2,Too expensive for the features
user_125,5,Camera is outstanding especially in low light
user_126,4,Loved the design and build quality
user_127,5,Very smooth experience and no lag
user_128,2,Too expensive for the features
user_129,4,Very smooth experience and no lag
user_130,5,Display is bright and sharp
user_131,5,Camera is outstanding especially in low light
user_132,4,Excellent performance and premium feel
user_133,4,Loved the design and build quality
user_134,3,Overpriced product
user_135,5,Camera is outstanding especially in low light
user_136,2,Not much difference from previous model
user_137,1,Camera is good but not worth the price
user_138,4,Battery life is impressive and lasts all day
user_139,1,Battery could have been better
user_140,4,Amazing camera quality and smooth performance
user_141,5,Very smooth experience and no lag
user_142,5,Super fast and great display quality
user_143,5,Loved the design and build quality
user_144,1,Heating issue while gaming
user_145,5,Amazing camera quality and smooth performance
user_146,3,Expected more features
user_147,3,Camera is good but not worth the price
user_148,4,Super fast and great display quality
user_149,1,Battery drains faster than expected
user_150,5,Battery life is impressive and lasts all day
user_151,5,Camera is outstanding especially in low light
user_152,4,Display is bright and sharp
user_153,4,Loved the design and build quality
user_154,4,Camera is outstanding especially in low light
user_155,3,Performance is good but price is high
user_156,5,Excellent performance and premium feel
user_157,4,Battery life is impressive and lasts all day
user_158,5,Camera is outstanding especially in low light
user_159,2,Heating issue while gaming
user_160,3,Battery could have been better
user_161,5,Camera is outstanding especially in low light
user_162,2,Heating issue while gaming
user_163,2,Heating issue while gaming
user_164,5,Great upgrade from previous model
user_165,2,Heating issue while gaming
user_166,5,Best iPhone I have used so far
user_167,5,Camera is outstanding especially in low light
user_168,4,Amazing camera quality and smooth performance
user_169,4,Battery life is impressive and lasts all day
user_170,1,Heating issue while gaming
user_171,5,Battery life is impressive and lasts all day
user_172,4,Amazing camera quality and smooth performance
user_173,5,Display is bright and sharp
user_174,4,Excellent performance and premium feel
user_175,3,Battery drains faster than expected
user_176,4,Battery life is impressive and lasts all day
user_177,5,Very smooth experience and no lag
user_178,4,Battery life is impressive and lasts all day
user_179,4,Great upgrade from previous model
user_180,3,Not much difference from previous model
user_181,1,Not much difference from previous model
user_182,4,Display is bright and sharp
user_183,2,Performance is good but price is high
user_184,4,Excellent performance and premium feel
user_185,5,Super fast and great display quality
user_186,1,Camera is good but not worth the price
user_187,1,Gets warm quickly
user_188,5,Super fast and great display quality
user_189,4,Loved the design and build quality
user_190,4,Super fast and great display quality
user_191,4,Best iPhone I have used so far
user_192,4,Camera is outstanding especially in low light
user_193,4,Excellent performance and premium feel
user_194,5,Super fast and great display quality
user_195,1,Expected more features
user_196,1,Too expensive for the features
user_197,4,Very smooth experience and no lag
user_198,1,Too expensive for the features
user_199,4,Loved the design and build quality
user_200,1,Not much difference from previous model
user_201,4,Very smooth experience and no lag
user_202,5,Excellent performance and premium feel
user_203,2,Performance is good but price is high
user_204,2,Camera is good but not worth the price
user_205,3,Battery drains faster than expected
user_206,5,Excellent performance and premium feel
user_207,2,Heating issue while gaming
user_208,1,Gets warm quickly
user_209,1,Heating issue while gaming
user_210,4,Excellent performance and premium feel
user_211,3,Battery drains faster than expected
user_212,5,Best iPhone I have used so far
user_213,4,Very smooth experience and no lag
user_214,4,Loved the design and build quality
user_215,4,Amazing camera quality and smooth performance
user_216,4,Great upgrade from previous model
user_217,4,Loved the design and build quality
user_218,4,Super fast and great display quality
user_219,5,Super fast and great display quality
user_220,4,Amazing camera quality and smooth performance
user_221,1,Battery drains faster than expected
user_222,4,Camera is outstanding especially in low light
user_223,5,Super fast and great display quality
user_224,5,Display is bright and sharp
user_225,3,Performance is good but price is high
user_226,4,Excellent performance and premium feel
user_227,5,Excellent performance and premium feel
user_228,2,Heating issue while gaming
user_229,2,Expected more features
user_230,1,Battery drains faster than expected
user_231,4,Display is bright and sharp
user_232,3,Heating issue while gaming
user_233,5,Display is bright and sharp
user_234,2,Not much difference from previous model
user_235,1,Gets warm quickly
user_236,5,Best iPhone I have used so far
user_237,4,Display is bright and sharp
user_238,5,Display is bright and sharp
user_239,2,Battery could have been better
user_240,5,Excellent performance and premium feel
user_241,5,Best iPhone I have used so far
user_242,4,Great upgrade from previous model
user_243,5,Amazing camera quality and smooth performance
user_244,5,Amazing camera quality and smooth performance
user_245,5,Great upgrade from previous model
user_246,5,Display is bright and sharp
user_247,1,Heating issue while gaming
user_248,3,Overpriced product
user_249,4,Best iPhone I have used so far
user_250,5,Very smooth experience and no lag
user_251,4,Display is bright and sharp
user_252,1,Camera is good but not worth the price
user_253,4,Best iPhone I have used so far
user_254,5,Loved the design and build quality
user_255,4,Camera is outstanding especially in low light
user_256,4,Excellent performance and premium feel
user_257,5,Best iPhone I have used so far
user_258,5,Amazing camera quality and smooth performance
user_259,5,Super fast and great display quality
user_260,4,Very smooth experience and no lag
user_261,4,Very smooth experience and no lag
user_262,2,Expected more features
user_263,1,Too expensive for the features
user_264,4,Camera is outstanding especially in low light
user_265,2,Expected more features
user_266,5,Very smooth experience and no lag
user_267,3,Heating issue while gaming
user_268,1,Performance is good but price is high
user_269,5,Battery life is impressive and lasts all day
user_270,4,Camera is outstanding especially in low light
user_271,2,Overpriced product
user_272,3,Expected more features
user_273,1,Not much difference from previous model
user_274,4,Very smooth experience and no lag
user_275,5,Great upgrade from previous model
user_276,4,Super fast and great display quality
user_277,4,Great upgrade from previous model
user_278,4,Battery life is impressive and lasts all day
user_279,1,Battery could have been better
user_280,4,Battery life is impressive and lasts all day
user_281,5,Battery life is impressive and lasts all day
user_282,4,Best iPhone I have used so far
user_283,4,Very smooth experience and no lag
user_284,1,Battery drains faster than expected
user_285,4,Very smooth experience and no lag
user_286,3,Heating issue while gaming
user_287,4,Camera is outstanding especially in low light
user_288,4,Great upgrade from previous model
user_289,4,Amazing camera quality and smooth performance
user_290,2,Not much difference from previous model
user_291,2,Not much difference from previous model
user_292,1,Not much difference from previous model
user_293,4,Battery life is impressive and lasts all day
user_294,4,Loved the design and build quality
user_295,2,Camera is good but not worth the price
user_296,5,Best iPhone I have used so far
user_297,5,Great upgrade from previous model
user_298,5,Best iPhone I have used so far
user_299,5,Very smooth experience and no lag
user_300,2,Battery drains faster than expected
user_301,5,Loved the design and build quality
user_302,3,Overpriced product
user_303,4,Very smooth experience and no lag
user_304,5,Amazing camera quality and smooth performance
user_305,1,Expected more features
user_306,4,Great upgrade from previous model
user_307,5,Best iPhone I have used so far
user_308,4,Excellent performance and premium feel
user_309,2,Performance is good but price is high
user_310,5,Excellent performance and premium feel
user_311,5,Very smooth experience and no lag
user_312,1,Heating issue while gaming
user_313,5,Camera is outstanding especially in low light
user_314,4,Amazing camera quality and smooth performance
user_315,5,Very smooth experience and no lag
user_316,1,Battery drains faster than expected
user_317,4,Very smooth experience and no lag
user_318,4,Excellent performance and premium feel
user_319,5,Camera is outstanding especially in low light
user_320,4,Display is bright and sharp
